# Final energies generated by paramfit for bm3.prmtop
# Num	Amber+K		Quantum		Initial Amber+K
0	-351386.58355	-351356.87582	-351406.12641
1	-351387.14233	-351358.29327	-351404.90107
2	-351387.60321	-351359.43359	-351403.92154
3	-351388.26833	-351361.08799	-351402.49290
4	-351388.72346	-351362.20001	-351401.53947
5	-351389.38011	-351363.81310	-351400.14893
6	-351389.69146	-351364.59486	-351399.46442
7	-351390.34331	-351366.16011	-351398.12160
8	-351390.87056	-351367.46567	-351396.99129
9	-351391.31194	-351368.51231	-351396.09803
10	-351391.95631	-351370.02670	-351394.80642
11	-351392.39194	-351371.04696	-351393.93732
12	-351393.01995	-351372.52659	-351392.66938
13	-351393.44983	-351373.52097	-351391.82396
14	-351394.07229	-351374.95186	-351390.60446
15	-351394.44407	-351375.87550	-351389.79031
16	-351394.86596	-351376.83476	-351388.97700
17	-351395.47383	-351378.22577	-351387.79005
18	-351395.88996	-351379.16038	-351386.99919
19	-351396.48936	-351380.51543	-351385.84499
20	-351396.91042	-351381.41210	-351385.10054
21	-351397.50132	-351382.73206	-351383.97819
22	-351397.98040	-351383.82482	-351383.04231
23	-351398.38216	-351384.69999	-351382.30541
24	-351398.96044	-351385.96853	-351381.22970
25	-351399.23319	-351386.58237	-351380.69863
26	-351399.80395	-351387.82117	-351379.64982
27	-351400.19752	-351388.64319	-351378.96460
28	-351400.75981	-351389.84921	-351377.94535
29	-351401.22319	-351390.84505	-351377.10538
30	-351401.60546	-351391.64426	-351376.43702
31	-351402.15511	-351392.80232	-351375.46093
32	-351402.53163	-351393.58009	-351374.81180
33	-351403.07280	-351394.70689	-351373.86375
34	-351403.44644	-351395.45441	-351373.24554
35	-351403.86359	-351396.34196	-351372.48315
36	-351404.29569	-351397.25281	-351371.71155
37	-351404.65847	-351397.98112	-351371.10668
38	-351405.17950	-351399.03607	-351370.22285
39	-351405.54414	-351399.74183	-351369.64595
40	-351406.05669	-351400.76768	-351368.78799
41	-351406.41081	-351401.44777	-351368.22977
42	-351406.91487	-351402.44519	-351367.39703
43	-351407.32238	-351403.27117	-351366.70084
44	-351407.55652	-351403.74620	-351366.29411
45	-351408.04892	-351404.70509	-351365.49549
46	-351408.38645	-351405.34870	-351364.96569
47	-351408.87038	-351406.28044	-351364.19100
48	-351409.20479	-351406.89744	-351363.68825
49	-351409.60059	-351407.65819	-351363.05767
50	-351410.07188	-351408.55046	-351362.31765
51	-351410.39504	-351409.14922	-351361.82723
52	-351410.85786	-351410.01573	-351361.10975
53	-351411.17526	-351410.59717	-351360.63444
54	-351411.52901	-351411.27805	-351360.05506
55	-351411.84391	-351411.83657	-351359.60334
56	-351412.20859	-351412.52759	-351359.02605
57	-351412.65125	-351413.33491	-351358.36012
58	-351412.96239	-351413.87453	-351357.92890
59	-351413.39657	-351414.65789	-351357.28371
60	-351413.69449	-351415.18332	-351356.85699
61	-351414.12020	-351415.94319	-351356.23208
62	-351414.41517	-351416.44580	-351355.82878
63	-351414.75525	-351417.06738	-351355.31148
64	-351415.07550	-351417.65448	-351354.81330
65	-351415.35969	-351418.14273	-351354.41856
66	-351415.76525	-351418.84859	-351353.84002
67	-351416.04368	-351419.32180	-351353.45812
68	-351416.44814	-351420.00411	-351352.90729
69	-351416.72359	-351420.45611	-351352.54716
70	-351417.04009	-351421.01532	-351352.08332
71	-351417.42454	-351421.66741	-351351.55054
72	-351417.68861	-351422.10439	-351351.19938
73	-351417.97872	-351422.61500	-351350.76636
74	-351418.23766	-351423.03953	-351350.42572
75	-351418.60611	-351423.65273	-351349.92577
76	-351418.86187	-351424.05726	-351349.60550
77	-351419.16228	-351424.55708	-351349.19962
78	-351419.51810	-351425.14054	-351348.72461
79	-351419.76268	-351425.53128	-351348.41229
80	-351420.11002	-351426.09533	-351347.95348
81	-351420.34884	-351426.47300	-351347.65202
82	-351420.68771	-351427.01803	-351347.20901
83	-351420.84505	-351427.27425	-351346.99384
84	-351421.11457	-351427.72113	-351346.62468
85	-351421.44176	-351428.24054	-351346.20287
86	-351421.66686	-351428.58810	-351345.92633
87	-351421.99280	-351429.08823	-351345.52781
88	-351422.21213	-351429.42361	-351345.26122
89	-351422.52511	-351429.90215	-351344.87659
90	-351422.73868	-351430.22564	-351344.61969
91	-351422.98361	-351430.61989	-351344.29370
92	-351423.21006	-351430.98991	-351343.97734
93	-351423.41567	-351431.29722	-351343.73363
94	-351423.70576	-351431.74001	-351343.37437
95	-351423.90561	-351432.03594	-351343.13983
96	-351424.18975	-351432.45736	-351342.80125
97	-351424.39118	-351432.74150	-351342.58363
98	-351424.61252	-351433.08853	-351342.29595
99	-351424.88150	-351433.49071	-351341.96929
100	-351425.06699	-351433.75928	-351341.75664
101	-351425.32750	-351434.14576	-351341.44246
102	-351425.44366	-351434.33081	-351341.28141
103	-351425.69914	-351434.69928	-351340.98490
104	-351425.87374	-351434.94813	-351340.78782
105	-351426.07169	-351435.25134	-351340.53524
106	-351426.31912	-351435.60095	-351340.25737
107	-351426.48513	-351435.83464	-351340.07219
108	-351426.71700	-351436.17043	-351339.79784
109	-351426.87724	-351436.39427	-351339.62030
110	-351427.10333	-351436.71211	-351339.36338
111	-351427.21535	-351436.87807	-351339.22734
112	-351427.37535	-351437.12760	-351339.00650
113	-351427.58707	-351437.42980	-351338.75811
114	-351427.73359	-351437.63099	-351338.59802
115	-351427.93684	-351437.91957	-351338.36004
116	-351428.08460	-351438.11095	-351338.21455
117	-351428.28204	-351438.38303	-351337.99251
118	-351428.37962	-351438.52503	-351337.87496
