# Final energies generated by paramfit for d23.prmtop
# Num	Amber+K		Quantum		Initial Amber+K
0	-351442.56413	-351442.31676	-351357.67213
1	-351442.55181	-351442.33403	-351357.64288
2	-351442.56637	-351442.35947	-351357.63257
3	-351442.59327	-351442.39420	-351357.62552
4	-351442.61155	-351442.43940	-351357.59958
5	-351442.64166	-351442.49310	-351357.57717
6	-351442.68406	-351442.55592	-351357.55811
7	-351442.74720	-351442.62711	-351357.55162
8	-351442.80260	-351442.70459	-351357.53125
9	-351442.84718	-351442.78689	-351357.49535
10	-351442.93464	-351442.87440	-351357.49726
11	-351443.01471	-351442.96687	-351357.48690
12	-351443.08148	-351443.06143	-351357.46120
13	-351443.15214	-351443.15547	-351357.43996
14	-351443.24190	-351443.25004	-351357.43736
15	-351443.34793	-351443.34177	-351357.45382
16	-351443.41011	-351443.43171	-351357.42822
17	-351443.50027	-351443.52091	-351357.43126
18	-351443.58649	-351443.60836	-351357.43207
19	-351443.65382	-351443.69254	-351357.41719
20	-351443.72534	-351443.77123	-351357.41184
21	-351443.82302	-351443.84580	-351357.43664
22	-351443.85046	-351443.91231	-351357.39912
23	-351443.90743	-351443.96890	-351357.40088
24	-351443.98439	-351444.01773	-351357.43020
25	-351444.01751	-351444.05626	-351357.42578
26	-351444.06168	-351444.08758	-351357.43941
27	-351444.09889	-351444.11024	-351357.45452
28	-351444.12536	-351444.12518	-351357.46640
29	-351444.11848	-351444.13267	-351357.45215
30	-351444.14446	-351444.13062	-351357.48006
31	-351444.11003	-351444.12038	-351357.45552
32	-351444.11864	-351444.09961	-351357.48435
33	-351444.08024	-351444.07152	-351357.47325
34	-351444.03104	-351444.03401	-351357.46058
35	-351443.98932	-351443.98981	-351357.46188
36	-351443.94691	-351443.93828	-351357.46959
37	-351443.91350	-351443.88200	-351357.49093
38	-351443.84039	-351443.81903	-351357.47910
39	-351443.78304	-351443.75313	-351357.48580
40	-351443.70159	-351443.68278	-351357.47278
41	-351443.63067	-351443.60893	-351357.47366
42	-351443.55200	-351443.53373	-351357.46806
43	-351443.47795	-351443.45737	-351357.46822
44	-351443.37265	-351443.37982	-351357.43831
45	-351443.30613	-351443.30260	-351357.44682
46	-351443.21089	-351443.22627	-351357.42576
47	-351443.16413	-351443.15224	-351357.45093
48	-351443.06837	-351443.08250	-351357.42286
49	-351442.98936	-351443.01710	-351357.40732
50	-351442.91697	-351442.95418	-351357.39602
51	-351442.86089	-351442.89735	-351357.39507
52	-351442.79095	-351442.84550	-351357.37545
53	-351442.73270	-351442.79849	-351357.36284
54	-351442.68652	-351442.75920	-351357.35476
55	-351442.63446	-351442.72623	-351357.33468
56	-351442.60719	-351442.70214	-351357.33071
57	-351442.58051	-351442.68531	-351357.32030
58	-351442.58791	-351442.67598	-351357.33669
59	-351442.57134	-351442.67555	-351357.32044
60	-351442.57010	-351442.68184	-351357.31302
61	-351442.57952	-351442.69482	-351357.30981
62	-351442.59072	-351442.71261	-351357.30379
63	-351442.62541	-351442.73607	-351357.31578
64	-351442.64357	-351442.76598	-351357.30503
65	-351442.69510	-351442.80358	-351357.32015
66	-351442.75953	-351442.84751	-351357.34202
67	-351442.80854	-351442.89925	-351357.34085
68	-351442.86675	-351442.95345	-351357.34655
69	-351442.94859	-351443.01183	-351357.37181
70	-351443.01417	-351443.07169	-351357.37949
71	-351443.09399	-351443.13580	-351357.39726
72	-351443.17837	-351443.20203	-351357.41752
73	-351443.26406	-351443.27154	-351357.43585
74	-351443.35429	-351443.34143	-351357.45837
75	-351443.44295	-351443.41307	-351357.47757
76	-351443.51618	-351443.48338	-351357.48264
77	-351443.60410	-351443.55284	-351357.50319
78	-351443.69808	-351443.61943	-351357.53262
79	-351443.76778	-351443.68147	-351357.54222
80	-351443.85496	-351443.73796	-351357.57474
81	-351443.92643	-351443.78865	-351357.59722
82	-351443.97934	-351443.83515	-351357.60517
83	-351444.05859	-351443.87639	-351357.64457
84	-351444.12192	-351443.91188	-351357.67358
85	-351444.16328	-351443.94229	-351357.68551
86	-351444.17767	-351443.96341	-351357.67958
87	-351444.22665	-351443.97701	-351357.71551
88	-351444.24240	-351443.98305	-351357.72557
89	-351444.25453	-351443.97926	-351357.74161
