# Final energies generated by paramfit for a13.prmtop
# Num	Amber+K		Quantum		Initial Amber+K
0	-351431.01779	-351429.18465	-351360.15534
1	-351431.41143	-351429.70865	-351359.96802
2	-351431.74595	-351430.16538	-351359.79522
3	-351432.14808	-351430.65966	-351359.64785
4	-351432.47808	-351431.10057	-351359.48781
5	-351432.84505	-351431.57824	-351359.32372
6	-351433.19000	-351431.99615	-351359.20282
7	-351433.54916	-351432.44495	-351359.06077
8	-351433.89552	-351432.89368	-351358.90711
9	-351434.20825	-351433.27777	-351358.79038
10	-351434.54841	-351433.70907	-351358.64961
11	-351434.84283	-351434.07592	-351358.53283
12	-351435.18137	-351434.48154	-351358.41736
13	-351435.46235	-351434.83132	-351358.30566
14	-351435.79135	-351435.21751	-351358.20213
15	-351436.06685	-351435.55395	-351358.09973
16	-351436.37654	-351435.92192	-351357.99629
17	-351436.64036	-351436.24197	-351357.90007
18	-351436.93542	-351436.59153	-351357.80205
19	-351437.19336	-351436.89771	-351357.71528
20	-351437.47391	-351437.22921	-351357.62245
21	-351437.71377	-351437.52089	-351357.53312
22	-351437.97962	-351437.83445	-351357.44517
23	-351438.22593	-351438.10719	-351357.38265
24	-351438.45191	-351438.37420	-351357.30675
25	-351438.70478	-351438.66427	-351357.23176
26	-351438.93245	-351438.91522	-351357.17456
27	-351439.16569	-351439.19047	-351357.09596
28	-351439.38757	-351439.42921	-351357.04667
29	-351439.60382	-351439.66039	-351357.00002
30	-351439.80756	-351439.91045	-351356.91956
31	-351440.01087	-351440.12800	-351356.87510
32	-351440.21562	-351440.34067	-351356.83768
33	-351440.39682	-351440.56742	-351356.76048
34	-351440.58135	-351440.76470	-351356.71974
35	-351440.76042	-351440.95937	-351356.67642
36	-351440.94966	-351441.16373	-351356.63204
37	-351441.11517	-351441.34485	-351356.59025
38	-351441.28040	-351441.51720	-351356.55811
39	-351441.43487	-351441.68549	-351356.51958
40	-351441.60207	-351441.86218	-351356.48413
41	-351441.73383	-351442.01584	-351356.43907
42	-351441.87610	-351442.16592	-351356.40884
43	-351442.02137	-351442.30758	-351356.39065
44	-351442.14168	-351442.44429	-351356.35331
45	-351442.26253	-351442.57518	-351356.32310
46	-351442.38568	-351442.70152	-351356.29996
47	-351442.50039	-351442.82977	-351356.26628
48	-351442.61617	-351442.94453	-351356.24896
49	-351442.71118	-351443.05125	-351356.22015
50	-351442.81146	-351443.15370	-351356.20119
51	-351442.89287	-351443.24864	-351356.17207
52	-351442.97922	-351443.33943	-351356.15237
53	-351443.06015	-351443.42447	-351356.13379
54	-351443.12612	-351443.50275	-351356.10819
55	-351443.19327	-351443.57663	-351356.08853
56	-351443.25320	-351443.64458	-351356.06838
57	-351443.31286	-351443.70720	-351356.05407
58	-351443.36531	-351443.76424	-351356.03891
59	-351443.40135	-351443.81030	-351356.02002
60	-351443.44001	-351443.85627	-351356.00365
61	-351443.48006	-351443.89656	-351355.99514
62	-351443.49045	-351443.93164	-351355.96280
63	-351443.51402	-351443.96069	-351355.95064
64	-351443.52642	-351443.98166	-351355.93670
65	-351443.54012	-351443.99971	-351355.92701
66	-351443.52752	-351444.01173	-351355.89793
67	-351443.52448	-351444.01808	-351355.88500
68	-351443.52695	-351444.01832	-351355.88460
69	-351443.49470	-351444.01336	-351355.85524
70	-351443.47000	-351444.00301	-351355.83966
71	-351443.44926	-351443.98782	-351355.83369
72	-351443.41019	-351443.96595	-351355.81680
73	-351443.37187	-351443.94132	-351355.80414
74	-351443.31729	-351443.90714	-351355.78573
75	-351443.27217	-351443.87349	-351355.77665
76	-351443.20227	-351443.82855	-351355.75533
77	-351443.15099	-351443.78346	-351355.75313
78	-351443.06236	-351443.72779	-351355.72548
79	-351442.98019	-351443.67387	-351355.70262
80	-351442.90789	-351443.61475	-351355.69559
81	-351442.80742	-351443.54274	-351355.67489
82	-351442.70817	-351443.47175	-351355.65452
83	-351442.61422	-351443.39843	-351355.64226
84	-351442.49018	-351443.31108	-351355.61583
85	-351442.37400	-351443.22527	-351355.59563
86	-351442.25794	-351443.12974	-351355.58654
87	-351442.14381	-351443.03762	-351355.57587
88	-351442.00268	-351442.93855	-351355.54623
89	-351441.86051	-351442.83366	-351355.52212
90	-351441.70688	-351442.71892	-351355.49784
91	-351441.54171	-351442.59389	-351355.47374
92	-351441.37381	-351442.47486	-351355.44036
93	-351441.21105	-351442.34279	-351355.42673
94	-351441.04293	-351442.22616	-351355.39074
95	-351440.86832	-351442.08317	-351355.37773
96	-351440.67585	-351441.94565	-351355.34126
97	-351440.47312	-351441.79447	-351355.30993
98	-351440.27595	-351441.64569	-351355.28152
99	-351440.06560	-351441.48341	-351355.25527
100	-351439.84056	-351441.31750	-351355.21878
101	-351439.63959	-351441.15712	-351355.19970
102	-351439.40845	-351440.99126	-351355.15740
103	-351439.16998	-351440.80838	-351355.12680
104	-351438.94675	-351440.63442	-351355.10123
105	-351438.67251	-351440.43614	-351355.05273
106	-351438.44238	-351440.25173	-351355.03221
107	-351438.16748	-351440.05123	-351354.98596
108	-351437.91389	-351439.85939	-351354.95086
109	-351437.61881	-351439.63896	-351354.90696
110	-351437.35007	-351439.43846	-351354.86685
111	-351437.05104	-351439.21859	-351354.81899
112	-351436.74936	-351439.00056	-351354.76606
113	-351436.45651	-351438.76929	-351354.73660
114	-351436.14350	-351438.53204	-351354.69451
115	-351435.81804	-351438.30066	-351354.63346
116	-351435.51176	-351438.07326	-351354.58708
117	-351435.17278	-351437.81015	-351354.54779
118	-351434.85100	-351437.57416	-351354.49596
